ISBN,書籍簡介
9789865026097,"

榮獲SmartPLS官方臉書推薦 https://www.facebook.com/SmartPLS/ 國立中山大學終身榮譽國家講座 梁定澎教授 University of Nottingham Ningbo China Prof. Patrick Y.K. Chau National University of Singapore Prof. Kwok Kee Wei Hamburg University of Technology Prof. Christian M. Ringle (SmartPLS開發者之一) The Otto-von-Guericke University, Germany Professor, Marko Sarstedt 好評推薦!! *新增！在論文中正確地呈現各種統計檢定的結果。 *提供SEM的演進、Formative（形成性的評估）、中介因子的5種型態、調節效果的9種型態、測量恆等性（Measurement Invariance）、MGA呈現的範例、被中介的調節（中介式調節）、被調節的中介（調節式中介）。 *國內第一本深入探討最新量表發展、中介和調節變數的應用、reflective(反映性)和 formative(形成性)指標的發展和模式的指定。 *本書以實用的角度引導學員從學習社會科學概念開始介紹，到完成一份專題、研究生論文和論文投稿，對於大學部專題，碩博士學生，量化的研究人員都有莫大的幫助。 *以統計分析(多變量分析)為主軸，整合了理論的介紹、量化的研究、量表的發展、卡方檢定、因素分析、迴歸分析、區別分析和邏輯迴歸、單因子變異數分析、多變量變異數分析、典型相關分析、信度和效度分析、聯合分析多、元尺度和集群分析，第二代統計技術–結構方程模式(SEM)。 *內容涵蓋SmartPLS 3基本操作、PLS-SEM結構方程模式的學習範例、反映性和形成性指標與模式的指定、二階和高階因果關係、SEM結構方程模式實例、中介因子的5種型態、調節效果的9種型態、測量恆等性(Measurement Invariance)、MGA呈現的範例、和論文結構與研究範例。 *本書可作為統計分析和多變量分析的教科書，也是Hair, Black, Babin, and Anderson所撰寫的Multivariate Data Analysis多變量分析的最佳輔助參考書籍，更是Hair, Hult, Ringle, and Sarstedt所撰寫的A Primer on Partial Least Squares Structural Equation Modeling(PLS-SEM)的最佳輔助參考書籍。
                    
"
9789863125075,"


	運用各種資料分析套件和統計模型, 解決大數據時代所會遇到的各種難題

	R 語言是公認處理大數據的最佳利器, 不只免費、語法簡單、直覺, 還具備數千個功能強大的延伸套件, 更讓 R 語言深入各種不同的應用領域。本書由國際知名的資料分析專家執筆, 作者具備豐富的 R 語言教學經驗, 從中篩選出 R 的基本功能和最新、最好用的套件, 並以各種資料集案例, 具體展現資料分析成果。

	對於有心跨足資料科學、數據分析、量化交易、人工智慧、機器學習等領域的讀者, 只會 R 語言的語法自然是不夠的。我們將帶您運用各種資料分析套件和統計模型, 解決大數據時代所會遇到的各種難題, 包括：向量運算、文字探勘、資料視覺化、趨勢預測、資料建模, 以及各種分析結果的輸出、引用與動態呈現等, 全面掌握 R 語言的各種技巧。

本書特色

	●向量運算：全向量化的資料結構, 包括：vector、factor vector、data.frame、list、matrix、array 等
	●文字探勘：各類資料匯入讀取、抽取字串、表格轉換與合併、資料聚合、資料正規化、網路爬蟲
	●資料視覺化：最吸睛的 ggplot2 套件圖表繪製技巧, 並利用 Shiny 套件產生網頁互動展示儀表板
	●機率統計：快速領略統計學核心應用, 抽樣分佈、假設檢定、變異數分析、資料分群
	●趨勢預測：展現大數據威力的強力工具, 線性迴歸、廣義線性模型、非線性模型、時間序列與自相關性
	●資料建模：機器學習的基礎, 利用 Caret 評斷資料模型配適度, 建立資料測試與訓練機制, 透過交叉驗證和參數挑選建立最佳模式
	●進階應用：資料分析師必學的套件包裝與發佈、報表/投影片製作、制式化文件輸出等

"
9789863124917,"


快速掌握 R 最精要的基礎語法，
奠定大數據分析的基本功！


	R 語言是公認處理大數據的最佳利器，不只免費、語法簡單、直覺，還具備數千個功能強大的延伸套件，更讓 R 語言深入各種不同的應用領域。

	本書由國際知名的資料分析專家執筆，作者具備豐富的 R 語言教學經驗，從中篩選出 R 最精要的基本功能和常用套件，並以各種資料集案例，具體展現資料分析成果。

	在閱讀本書前，您不需要任何程式設計與統計分析的基礎，也不用硬啃厚厚的指令集，只要跟著本書的脈絡，就能快速掌握 R 的語法與操作邏輯，領略資料分析的技巧，為大數據應用奠定紮實的基礎。

本書特色

	● RStudio 開發環境的建置與介紹
	● 變數型態、向量運算、函數的使用
	● 直覺、吸睛的繪圖技巧
	● 表格資料的處理、連結、轉置
	● 各種資料的讀取與網路爬蟲
	● 字串的處理與運算

"
9789865835583,"


	本書包括統計方法的原理介紹、概念澄清與統計方法之SPSS軟體的詳細操作說明，本書具備以下特色：

	全書之體例完備：完整的介紹量化資料的電腦處理流程與其應用時機，釐清統計分析時之迷思。

	實例之解說清晰：以實際範例說明，導引研究者深入的了解，配合各式圖表解說，完整介紹量表的處理流程與統計分析的應用方法。

	兼顧理論與實例：每章統計分析操作前均詳細介紹相關的理論基礎，再配合完整的實例介紹，語意述說淺顯，可作為研究者統計分析的指引。

	詳盡的報表說明：可讓讀者對數據內容有深入的了解，進一步作為研究論文的撰述與結果呈現的參考範例，統整之「表格範例」及「內容詮釋」可作為論文寫作的參考。

	應用的適用性廣：內容包括基礎統計與高等統計、單變量與多變量、母數統計與無母數統計應用的分析及實例說明，涵括了社會科學領域之量化研究常用的統計方法。

"
9789865028411,"


	運用R和Python學習50+個必學統計概念

	「這本書並非是另一本統計學教科書，也不是機器學習手冊。本書透過清楚的解釋和豐富範例，將實用的統計術語及原理和當今資料探勘的行話及實務聯繫起來。對資料科學的初學者和老手來說，這都是一本非常出色的參考書。」
	—Galit Shmueli, 暢銷書《Data Mining for Business Analytics》主要作者，台灣清華大學特聘教授

	統計方法是資料科學很重要的部分，然而很少有資料科學家接受過正式的統計訓練，而一般的課程及書籍亦很少從資料科學的角度來講解基礎統計學。因此本書第二版新增了詳盡的Python範例，提供讀者如何將統計方法應用於資料科學的實用指南、如何避免誤用統計方法，以及該注意的建議。

	資料科學的學習資源或多或少有採用統計方法，但卻缺乏更深入的統計觀點，如果你熟悉R或Python程式語言，並對統計學有所了解，那麼這本書將以易懂的方式來幫助你學習。

	透過本書，你將會學習到：
	‧為何探索式資料分析是資料科學關鍵的第一步
	‧隨機抽樣如何減少偏誤，並產生更高品質的資料集
	‧實驗設計的原理是如何針對問題得出明確的答案
	‧如何使用迴歸來預測結果並檢測異常
	‧用來預測紀錄所屬類別的重要分類方法
	‧從資料中「學習」的統計機器學習方法
	‧從無標籤資料中提取有意義訊息的非監督式學習方法

"
9789865028374,"

寫作風格簡潔易懂，是初學R語言的首選推薦！ *R4.0起不再將資料框的文字預設為因素向量，在第三版中降低了因素向量的重要性，僅將向量、清單與資料框列為三個必修資料結構。 *第三版更新2018到2021年程式語言排名變化，讀者能觀察到以資料分析為主應用的語言均呈現整體上升趨勢。*一本閱讀起來不那麼生澀的程式語言書籍，讓原本沒有程式基礎但工作上有分析需求的使用者，如：產品經理、商業分析師或行銷企劃人員，能夠輕鬆學會R語言，進而應用到工作中，提升工作效率。 *內容簡單扼要，用語平易近人，淺顯易讀，能幫助初學者在最短時間上手R語言。 *說明皆同時附程式與輸出結果，即便不跟著執行程式也能輕鬆掌握。 *本書適合從未接觸過R語言、想學習R語言的資料處理與探索性分析的初學者，以及使用過R語言但只是快速應用套件而無法自己撰寫程式解題的初階使用者。
                    
"
9789864345175,"


	從幾年前開始教管理數學時，發現在教學上，花太多時間在計算上，勾起以前學習數學、統計以及多變數分析時的挫折。同樣的經驗 也出現在教作業管理，有關流程分析或解學習曲線、品質管理的管制圖上；心想若能輔以 R 語言的語法或操作，在瞭解原理後，將複雜的計算交給 R 語言，也會提升學習的效果；利用 R 語言可以省掉這些相對是細微末節的計算，專注在理解問題的本質、有效的定義問題以及解決問題的方式，這應該也是「博雅教育」(Liberal arts)的本質吧！

	 

	R 語言因為具有簡單、互動、有趣特色，讓使用者在學習的過程可以達到這個效果。可以扮演「寫程式」的能力的第一哩路，甚至在資料分析、圖形呈現的最後一哩路。

	 

	第一篇介紹 R 語言概論，但是跟同類的書籍處理上不一樣，因為我們試圖重點放在解決管理領域的問題，所以把第一章擺在附錄；第二篇探討巨量資料、開放資料與 R 語言；第三篇探討 R 語言在管理數學的應用。第四篇探討 R 語言在作業管理的應用。

	 

本書特色

	 

	1. 直指管理學領域應用的層面，而不是純粹的談R程式語法。

	2. 就教科書上的繁瑣計算題目，以R語言來輔助，增加學習興趣與效果。

	3. 延伸教科書的實例到實際運用，譬如心臟移植手術存活率。

	4. 詳細的程式碼解說，每個實例都可以是本書的起讀點。

	5. 透過本書的R軟體的解方，找到一個快速上手與便利的工具，也從似曾相識到熟練。

	6. 「開放資料」倡議與機會，呈現數據可視化(data visualization)和地理定位(geolocation)功能。

	7. 以不同單利、複利的年利率，看長期報酬率；以及一美分幣翻倍31天後的神奇力量(The Magic Penny)。

	8. 達到可視化、互動的資料分析，譬如柏拉圖(Pareto chart)、品質管制圖。

	9. 很多傳統需要用查表的管理手法，譬如品管管制圖，可以直接用R來處理。

	 

	【下載範例程式檔案】

	本書的程式碼是由GitHub託管，可以在如下網址找到：github.com/hmst2020/HS-I-/tree/master/R。

	 

"
9789865024413,"

你想知道如何將市調資料做有效的分析嗎？ 你正在撰寫專題或畢業論文，但不知該採用何種分析方法？ 本書不僅教你如何操作SPSS，更讓你學會將分析結果轉換到Word撰寫報告，編輯成美觀的Word表格！ ‧從設計問卷、正確做出問卷分析、繪製統計圖，到將分析結果輸出到Excel、Word，逐步圖例詳述說明，讓你的市調分析做得準確又傑出。 ‧提供詳盡的統計分析方法，含括：交叉分析表、複選題(多重回應)、單因子變異數分析、因素分析、區別(判別)分析、集群(叢集)分析...等讓你順利完成專題與畢業論文。 ‧書中範例均透過作者實際問卷調查所得，問卷主題為你我日常生活中所使用得到之產品，如：Facebook、便利商店、智慧型手機、信用卡、速食、化妝品…等。 ‧書中提供數十個既專業又實用的統計分析，讓您可以輕鬆修改套用。 ‧提供豐富的市調資料與本書範例檔、練習用習題，讓您實際演練一點就通。
                    
"
9789865022433,"

寫作風格簡潔易懂，是初學R語言的首選推薦！一本閱讀起來不那麼生澀的程式語言書籍，讓原本沒有程式基礎但工作上有分析需求的使用者，如：產品經理、商業分析師或行銷企劃人員，能夠輕鬆學會R語言，進而應用到工作中，提升工作效率。 *內容簡潔易懂，適合沒有程式基礎的初學者。 *說明皆同時附程式與輸出結果，即便不跟著執行程式也能輕鬆掌握。 *作者兼具多年業界工作與講師授課經驗，有效掌握初學者的困惑點。 *口語化表達，用語平易近人，淺顯易讀。 *內容簡單扼要，能幫助初學者在最短時間上手R語言。 *本書適合：從未接觸過R語言、想學習R語言資料處理與探索性分析的初學者，以及使用過R語言但只是快速應用套件而無法自己撰寫程式解題的初階使用者。
                    
"
9789578755550,"

近數年各行各業的發展都朝網路及大數據靠攏，他們需要懂得網路運作的法政人才、了解數據分析的銷售人才、擅長數位技術的金融人才、孰悉資訊技術的醫療人才、深諳資料處理及分析的文學人才。過去，想要跨足資訊領域很困難，因為門檻很高（無論是軟硬體的需求都很昂貴而且學習困難），所以資訊科班出身的人才很吃香，但未來人才的競爭力來自於跨領域的能力，光靠資訊技術難以滿足創新時代的要求，反而是那些具備理工、法商、文史、生醫等專業而又懂得資料處理者才是時代的寵兒。因為現代資訊領域的門檻已大幅降低，金費及時間已不是問題，只要您願意突破心理障礙，大膽跨入新領域，就會有驚人的收穫。本書旨在協助您跨足新領域、展開新視界，讓您成為高人一等的Data Analyst數據分析師，或Big Data Engineer大數據工程師。由於網路交易的頻繁及政府資料庫的開放，資料的產出如海水般湧入，資料的取得及保存也「易於往昔」，故如何運用電腦從中挖掘有用的資訊，以提高決策品質，才是今日各界需要面對的重點，但是怎麼挖？用甚麼工具挖？資料採礦涉及許多不同的演算方法，如果不能了解其演算原理，就會陷入「知其然而不知其所以然」的盲點，甚或誤用採礦方法。坊間有關資料採礦的書籍很多，但多欠缺深入的解說，只是重點翻譯或是規則重述，沒有作者自己的思維（消化咀嚼之後的表述），以致讀者閱讀之後仍是一頭霧水，這類書籍充其量只能作為授課大綱，而無助於問題之解決。本書分為10章，第1章說明R語言的用法，第2～8章為關聯分析、叢集分析、分類分析、資料包絡分析、決策樹、隨機森林等各種演算方法的深入剖析，第9章引領讀者進入「類神經網路及人工智慧」的殿堂，最後一章則為R語言之大數據處理。本書不但說明如何使用R語言的套件來進行資料採礦，更從不同角度闡述這些採礦模型（演算法）的原理，並以淺顯易懂的範例讓讀者了解其成因及產出，例如關聯分析之強度指標、貝氏分類的機率計算、階層分群之演算步驟、剪影係數的計算解析、決策樹之建構程序、隨機森林之節點路徑、類神經網路的權值修正等，只要讀者願意投入些許時間，必能豁然開朗、明其堂奧。
                    
"
